flight_id,origin,destination,departure_datetime,arrival_datetime,price
BA2490,LHR,JFK,2025-11-14 10:30,2025-11-14 13:05,489.99
LH172,FRA,RIX,2025-11-12 07:15,2025-11-12 10:30,159.50
FR1234,RIX,OSL,2025-11-15 08:00,2025-11-15 08:55,99.99
BT102,RIX,HEL,2025-11-14 09:40,2025-11-14 10:45,120.00
AA9999,JFK,LHR,2025-11-15 20:15,2025-11-16 08:15,590.00
DY4501,OSL,ARN,2025-11-21 06:00,2025-11-21 07:05,75.00
AF112,CDG,DXB,2025-11-20 21:10,2025-11-21 05:20,622.00

BADLINE_NO_DATE_NO_TIME
BA_BAD,RIX,LON,2025-11-15 11:00,INVALID_DATE,250.00
SK404,OSL,RIX,2025-11-15 14:00,2025-11-15 12:00,120.00
W61025,XXX,RIX,2025-11-16 11:00,2025-11-16 13:00,80.00
QR1,DOH,SYD,INVALID_DATETIME,2025-11-17 23:30,980.00
KL999,AMS,,2025-11-14 09:00,2025-11-14 11:15,180.00
AY5587,HEL,RIX,2025-11-15 13:20,2025-11-15 14:15,-10.00
LH99999999,FRA,LAX,2025-11-13 18:30,2025-11-13 18:10,700.00
SN2902,BRU,LHR,2025-13-40 12:00,2025-13-40 12:00,99.99
